Recording timestamp [μs]	Computer timestamp [μs]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
3730599130	697125790180	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125790192																	Invalid	Invalid													EyesNotFound	1151	52993		
3730607485	697125798535	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125798547																	Invalid	Invalid													EyesNotFound	1151	52993		
3730615811	697125806861	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125806873																	Invalid	Invalid													EyesNotFound	1151	52993		
3730624164	697125815214	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125815226																	Invalid	Invalid													EyesNotFound	1151	52993		
3730632489	697125823539	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125823551																	Invalid	Invalid													EyesNotFound	1151	52993		
3730640815	697125831865	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125831877																	Invalid	Invalid													EyesNotFound	1151	52993		
3730649162	697125840212	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125840224																	Invalid	Invalid													EyesNotFound	1151	52993		
3730657710	697125848760	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125848772																	Invalid	Invalid													EyesNotFound	1151	52993		
3730666076	697125857126	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125857138																	Invalid	Invalid													EyesNotFound	1151	52993		
3730674282	697125865332	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125865344																	Invalid	Invalid													EyesNotFound	1151	52993		
